PDB,TM
2YXBA1,0
2YXFA1,0
2YXYA1,0
2YYOA1,0
2YZTA1,0
2Z01A1,0
2Z0MA1,0
2Z0WA1,0
2Z10A1,0
2Z14A1,0
2Z1EA1,0
2Z1PA1,0
2Z44A1,0
2Z5LA1,0
2Z6HA1,0
2Z6PA1,0
2Z84A1,0
2Z8HA1,0
2Z99A1,0
2ZA7A1,0
2ZCOA1,0
2ZCXA1,0
2ZFYA1,0
2ZGRA1,0
2ZHVA1,0
2ZJ8A1,0
2ZOVA1,0
2ZPMA1,0
2ZQ5A1,0
2ZQEA1,0
2ZTYA1,0
2ZXOA1,0
3A0FA1,0
3A0XA1,0
3A1KA1,0
3A2ZA1,1
3A4CA1,0
3A57A1,0
3A7LA1,0
3AAPA1,0
3ACPA1,0
3ADGA1,0
3ADOA1,0
3ADYA1,0
3AG7A1,0
3AGKA1,0
3AJCA1,0
3ANJA1,0
3APMA1,0
3APOA1,0
3ASAA1,0
3ASDA1,0
3AU3A1,0
3AUFA1,0
3AY5A1,0
3B02A1,0
3B21A1,0
3B33A1,0
3B4DA1,0
3B5OA1,0
3B79A1,0
3B7HA1,0
3B7XA1,0
3BA1A1,0
3BB7A1,0
3BCHA1,0
3BCIA1,0
3BCYA1,0
3BH0A1,0
3BHSA1,10
3BJAA1,0
3BJVA1,0
3BOKA1,0
3BORA1,0
3BPPA1,0
3BPVA1,0
3BQEA1,0
3BQWA1,0
3BQXA1,0
3BU9A1,0
3BUTA1,0
3BVSA1,0
3BYLA1,0
3BZ6A1,0
3BZGA1,0
3BZKA1,0
3BZQA1,0
3BZTA1,0
3C0CA1,0
3C0FB1,0
3C2EA1,0
3C38A1,0
3C4BA1,0
3C5VA1,0
3C65A1,0
3C6BA1,0
3C8UA1,0
3C8XA1,0
3CA7A1,0
3CANA1,0
3CAXA1,0
3CBHA1,0
3CBNA1,0
3CCYA1,0
3CE7A1,0
3CIVA1,0
3CJ1A1,0
3CJWA1,0
3CMLA1,0
3CMNA1,0
3CNUA1,0
3CO1A1,0
3COUA1,0
3CPKA1,0
3CQ1A1,0
3CQTA1,0
3CRMA1,0
3CS1A1,0
3CSGA1,0
3CSRA1,0
3CTAA1,0
3CWIA1,0
3CX2A1,0
3CZCA1,0
3D2AA1,0
3D3AA1,0
3D79A1,0
3D7NA1,0
3D9HA1,0
3DFGA1,0
3DG1A1,0
3DGJA1,0
3DHNA1,0
3DJ9A1,0
3DJNB1,0
3DKMA1,0
3DLMA1,0
3DMLA1,0
3DMSA1,0
3DPAA1,0
3DQPA1,0
3DR5A1,0
3DSHA1,0
3DSPA1,0
3DU1X1,0
3DZ1A1,0
3E0CA1,0
3E0EA1,0
3E0HA1,0
3E1SA1,0
3E21A1,0
3E26A1,0
3E3VA1,0
3E4HA1,0
3E56A1,0
3E5NA1,0
3E5TA1,0
3E7PA1,0
3E7RL1,0
3E9OA1,0
3EAZA1,0
3EDUA1,0
3EG4A1,0
3EGNA1,0
3EIZA1,0
3EJCA1,0
3EJGA1,0
3EMIA1,0
3ENUA1,0
3EO5A1,0
3ERBA1,0
3ERFA1,0
3ERSX1,0
3ETUA1,0
3ETVA1,0
3EURA1,0
3EVNA1,0
3EVPA1,0
3EVTA1,0
3EVZA1,0
3EWBX1,0
3EX9A1,0
3EXVA1,1
3EYEA1,0
3F1XA1,0
3F2ZA1,0
3F40A1,0
3F5DA1,0
3F6FA1,0
3F7MA1,0
3F8TA1,0
3FCNA1,0
3FDRA1,0
3FEZA1,0
3FFMA1,0
3FH2A1,0
3FHFA1,0
3FK5A1,0
3FKMX1,0
3FLGA1,0
3FMYA1,0
3FN7A1,0
3FNIA1,0
3FPOA1,0
3FRRA1,0
3FS3A1,0
3FS5A1,0
3FTDA1,0
3FTJA1,0
3FTKA1,0
3FTOA1,0
3FTRA1,0
3FTTA1,0
3FVAA1,0
3FWUA1,0
3FXHA1,0
3FYQA1,0
3FZEA1,0
3G06A1,0
3G39A1,0
3G40A1,0
3G4PA1,0
3G6LA1,0
3G6SA1,0
3G87A1,0
3G9BA1,0
3G9GA1,0
3GBTA1,0
3GBWA1,0
3GD0A1,0
3GFPA1,0
3GG6A1,0
3GHJA1,0
3GLKA1,0
3GMSA1,0
3GNFB1,0
3GOZA1,0
3GREA1,0
3GRHA1,0
3GS3A1,0
3GS9A1,0
3GT0A1,0
3GUQA1,0
3GUVA1,0
3GV0A1,0
3GW2A1,0
3GW3A1,0
3GYWA1,0
3H04A1,0
3H13A1,0
3H1TA1,0
3H2GA1,0
3H38A1,0
3H6JA1,0
3H6QA1,0
3H8ZA1,0
3H9WA1,0
3HA9A1,0
3HC7A1,0
